price 3999


Specifications	                        Details
High-concerned Chemicals	None
Material	                         Plastic
Maximum Wireless Range	<10m
Category	                      Earphones & Headphones
Earcups Type	                        Sealed
Charging Method	          Charging case
Headphone Pads Material	Silicone
With Microphone	                Yes
Support APP	                            Yes
Resistance	                           32Ω
Frequency Response Range	  20 - 20000Hz
Functions  Common Headphone, HiFi, Sport, Outdoor, Office, Study
Active Noise-Cancellation	      Yes
Volume Control	                   Yes
Control Button	                                Yes
Vocalism Principle	                Air Vocalism Principle
Wireless Type	                               Bluetooth
Connectors	                                 Type C
Communication 	                 Wireless
Style	                                             In-ear
Certification	                                  CE
Origin	                                    Mainland China
